Dose,X,Y,,,,,
2.4,3.0390625000000018,100.0,,,,,
2.4,5.9921875,41.3,,,,,
2.4,12.953124999999998,-5.3,,,,,
2.4,13.937500000000002,-14.6,,,,,
2.4,18.859375,-33.0,,,,,
2.4,21.8125,-38.8,,,,,
2.4,22.796875,-44.7,,,,,
2.4,27.718749999999993,-54.9,,,,,
2.4,28.843749999999993,-60.2,,,,,
2.4,29.6875,-60.2,,,,,
2.4,32.7109375,-66.0,,,,,
2.4,35.59374999999999,-71.8,,,,,
2.4,36.6484375,-76.2,,,,,
2.4,38.6875,-85.4,,,,,
2.4,39.67187499999999,-85.9,,,,,
2.4,43.60937499999999,-91.7,,,,,
2.4,47.47656249999999,-95.6,,,,,
2.4,48.46093749999999,-97.1,,,,,
2.4,49.515625,-97.1,,,,,
2.4,51.55468749999999,-97.6,,,,,
2.4,55.4921875,-98.5,,,,,
2.4,56.476562499999986,-98.5,,,,,
2.4,64.35156249999999,-100.0,,,,,
2.4,66.32031249999999,-100.0,,,,,
2.4,68.2890625,-100.0,,,,,
2.4,69.27343749999999,-100.0,,,,,
3.5,31.656249999999993,-63.1,,,,,
3.5,44.45312499999999,-93.2,,,,,
3,1.140625,241.7,,,,,
3,5.007812500000002,55.3,,,,,
3,14.921874999999998,-23.8,,,,,
3,15.906250000000002,-24.3,,,,,
3,19.84375,-36.9,,,,,
3,23.8515625,-45.1,,,,,
3,24.765625,-46.6,,,,,
3,34.67968749999999,-68.0,,,,,
3,41.5,-89.8,,,,,
3,42.48437499999999,-90.3,,,,,
3,45.64843749999999,-92.2,,,,,
3,46.42187499999999,-92.7,,,,,
3,50.42968749999999,-97.1,,,,,
3,53.45312499999999,-97.6,,,,,
3,58.445312499999986,-100.0,,,,,
3,60.4140625,-100.0,,,,,
3,61.328124999999986,-100.0,,,,,
3,62.3828125,-100.0,,,,,
3,63.3671875,-100.0,,,,,
3,65.40625,-100.0,,,,,
3,70.2578125,-100.0,,,,,
3,71.24218749999999,-100.0,,,,,
3,73.28125,-100.0,,,,,
3,72.29687499999999,-100.0,,,,,
4,26.804687499999993,-54.9,,,,,
4,59.359375,-100.0,,,,,
